,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Soyaux,FR,45.65,0.2,73.0,37,76,9.17,broken clouds
84,Kuching,MY,1.55,110.33,75.2,100,40,2.1,scattered clouds
85,Bambous Virieux,MU,-20.34,57.76,73.0,78,40,10.29,scattered clouds
86,Qasigiannguit,GL,68.82,-51.19,37.4,86,92,6.93,light intensity shower rain
87,Carutapera,BR,-1.2,-46.02,85.69,63,39,12.35,scattered clouds
88,Vaini,TO,-21.2,-175.2,71.6,60,75,10.29,broken clouds
89,Dikson,RU,73.51,80.55,42.06,79,50,18.01,scattered clouds
90,Hasaki,JP,35.73,140.83,75.2,100,75,3.36,light rain
91,Carnarvon,AU,-24.87,113.63,64.4,93,100,5.82,overcast clouds
92,Westport,US,41.14,-73.36,79.0,50,20,9.17,few clouds
93,Neepawa,CA,50.23,-99.47,64.4,55,75,32.21,light rain
94,Oudtshoorn,ZA,-33.59,22.2,59.0,93,75,5.82,broken clouds
95,Pangody,RU,65.85,74.49,45.95,70,0,8.95,clear sky
96,Nome,US,64.5,-165.41,42.8,70,1,11.41,clear sky
97,Koson,UZ,39.04,65.58,71.6,18,0,11.41,clear sky
98,Thinadhoo,MV,0.53,72.93,82.49,75,98,9.91,moderate rain
99,Llaillay,CL,-32.85,-70.97,69.01,67,20,9.17,few clouds
100,Ahipara,NZ,-35.17,173.17,55.8,89,74,10.18,broken clouds
101,Leningradskiy,RU,69.38,178.42,35.46,86,6,6.33,clear sky
102,Zherdevka,RU,51.85,41.46,67.26,31,67,8.01,broken clouds
103,Saint Anthony,US,45.02,-93.22,75.99,64,1,19.46,clear sky
104,Luderitz,NA,-26.65,15.16,64.96,55,0,25.66,clear sky
105,Huanren,CN,41.26,125.37,62.46,81,100,3.15,overcast clouds
106,San Carlos De Bariloche,AR,-41.15,-71.31,50.0,39,0,3.36,clear sky
107,Flinders,AU,-34.58,150.86,59.0,82,7,1.01,clear sky
108,Sechura,PE,-5.56,-80.82,73.94,52,19,11.27,few clouds
109,Muros,ES,42.78,-9.06,72.0,56,0,12.75,clear sky
110,Hay River,CA,60.82,-115.8,48.2,76,75,3.36,broken clouds
111,Tasiilaq,GL,65.61,-37.64,37.4,93,100,9.17,overcast clouds
112,Sikasso,ML,10.92,-7.0,80.19,81,74,3.13,light rain
113,Dauriya,RU,49.93,116.87,54.46,84,42,3.02,scattered clouds
114,Saint George,US,37.1,-113.58,82.4,14,1,2.73,clear sky
115,Gisborne,NZ,-38.65,178.0,54.0,93,100,8.99,light rain
116,Beidao,CN,34.57,105.89,64.24,61,1,2.75,clear sky
117,Acapulco,MX,16.86,-99.89,84.2,74,90,2.24,overcast clouds
118,Cabo San Lucas,MX,22.89,-109.91,82.99,83,75,11.41,broken clouds
119,Macamic,CA,48.75,-79.0,59.0,58,40,8.05,scattered clouds
120,Alofi,NU,-19.06,-169.92,71.6,64,74,16.11,broken clouds
