City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
61,Ribeira Grande,PT,2020-09-05 20:30:19,38.52,-28.7,69.8,68,40,13.87
62,Qaanaaq,GL,2020-09-05 20:30:19,77.48,-69.36,29.05,82,0,4.09
63,Ponta Do Sol,PT,2020-09-05 20:30:20,32.67,-17.1,73.4,83,40,17.22
64,Port Blair,IN,2020-09-05 20:30:20,11.67,92.75,82.33,79,100,5.46
65,Yenagoa,NG,2020-09-05 20:30:21,4.92,6.26,74.52,91,96,3.89
66,Ixtapa,MX,2020-09-05 20:27:47,20.7,-105.2,90.0,62,90,5.68
67,Hofn,IS,2020-09-05 20:30:21,64.25,-15.21,47.35,72,33,5.97
68,Saint-Pierre,RE,2020-09-05 20:27:19,-21.34,55.48,66.2,88,75,6.93
69,Bathsheba,BB,2020-09-05 20:30:21,13.22,-59.52,86.0,66,40,11.41
70,Mar Del Plata,AR,2020-09-05 20:26:48,-38.0,-57.56,48.2,66,40,9.17
71,Esenyurt,TR,2020-09-05 20:30:22,41.03,28.68,71.6,64,0,4.7
72,Esperance,AU,2020-09-05 20:30:22,-33.87,121.9,59.0,62,100,11.41
73,Bara,NG,2020-09-05 20:30:23,10.37,10.73,75.69,86,70,9.57
74,Vila Velha,BR,2020-09-05 20:27:11,-20.33,-40.29,79.0,78,0,13.87
75,Yanam,IN,2020-09-05 20:30:23,16.73,82.22,79.21,88,9,1.25
76,Vaini,TO,2020-09-05 20:26:32,-21.2,-175.2,69.8,68,75,10.29
77,Thompson,CA,2020-09-05 20:29:35,55.74,-97.86,59.0,44,75,8.05
78,Severo-Kurilsk,RU,2020-09-05 20:26:42,50.68,156.12,52.12,79,100,3.62
79,Aktanysh,RU,2020-09-05 20:30:24,55.72,54.08,49.3,75,0,1.52
80,Jumla,NP,2020-09-05 20:30:24,29.27,82.18,58.1,67,3,2.86
81,Shahr-E Babak,IR,2020-09-05 20:30:25,30.12,55.12,66.45,21,0,10.25
82,Te Anau,NZ,2020-09-05 20:30:25,-45.42,167.72,45.7,83,45,4.72
83,Tuktoyaktuk,CA,2020-09-05 20:30:25,69.45,-133.04,39.2,71,90,9.17
84,Souillac,MU,2020-09-05 20:30:25,-20.52,57.52,69.8,88,75,11.41
85,Egvekinot,RU,2020-09-05 20:30:25,66.32,-179.17,40.77,71,81,5.39
86,Cidreira,BR,2020-09-05 20:26:37,-30.18,-50.21,57.27,94,100,17.2
87,Cherskiy,RU,2020-09-05 20:27:15,68.75,161.3,40.71,67,0,9.42
88,Tekeli,KZ,2020-09-05 20:30:26,44.83,78.82,58.3,47,83,6.55
89,Kangaatsiaq,GL,2020-09-05 20:30:27,68.31,-53.46,41.7,76,100,15.59
90,Fairbanks,US,2020-09-05 20:28:32,64.84,-147.72,46.0,100,90,4.7
91,Sitka,US,2020-09-05 20:29:25,57.05,-135.33,55.4,76,20,4.7
92,Davila,PH,2020-09-05 20:30:27,18.47,120.58,81.21,81,46,9.13
93,Bluff,NZ,2020-09-05 20:30:28,-46.6,168.33,45.0,72,100,11.01
94,Kommunar,RU,2020-09-05 20:30:28,59.62,30.39,57.99,87,40,4.47
95,Hasaki,JP,2020-09-05 20:30:28,35.73,140.83,75.2,100,75,9.17
96,Bengkulu,ID,2020-09-05 20:30:29,-3.8,102.27,73.8,91,100,4.21
97,Clifton,US,2020-09-05 20:27:20,40.86,-74.16,81.0,31,1,9.17
98,East London,ZA,2020-09-05 20:30:29,-33.02,27.91,64.67,71,100,3.4
99,La Ronge,CA,2020-09-05 20:28:01,55.1,-105.28,60.8,67,90,3.36
100,Nouadhibou,MR,2020-09-05 20:30:30,20.93,-17.03,86.0,62,55,13.87
101,Port Macquarie,AU,2020-09-05 20:28:58,-31.43,152.92,54.0,98,83,7.14
102,Canto Do Buriti,BR,2020-09-05 20:30:30,-8.11,-42.94,85.5,24,0,6.71
103,Baruun-Urt,MN,2020-09-05 20:30:30,46.68,113.28,56.32,68,84,12.24
104,Quatre Cocos,MU,2020-09-05 20:29:57,-20.21,57.76,69.8,88,75,11.41
105,Butaritari,KI,2020-09-05 20:30:31,3.07,172.79,83.3,72,25,12.44
106,Garden City,US,2020-09-05 20:30:31,42.33,-83.33,78.8,44,75,8.05
107,Pacific Grove,US,2020-09-05 20:25:48,36.62,-121.92,97.0,50,1,4.7
108,Harstad,NO,2020-09-05 20:30:32,68.8,16.53,51.8,87,99,19.46
109,Hovd,MN,2020-09-05 20:30:32,48.01,91.64,51.13,41,0,5.68
110,Honggang,CN,2020-09-05 20:30:32,46.47,124.87,58.82,94,36,9.6
111,Dikson,RU,2020-09-05 20:26:44,73.51,80.55,42.08,90,100,17.92
112,Taybad,IR,2020-09-05 20:30:33,34.74,60.78,69.35,23,0,12.57
113,San Cristobal,VE,2020-09-05 20:27:27,7.77,-72.22,91.4,55,20,13.87
114,Port Elizabeth,ZA,2020-09-05 20:28:01,-33.92,25.57,57.2,93,100,6.93
115,Arraial Do Cabo,BR,2020-09-05 20:26:21,-22.97,-42.03,80.6,83,2,9.17
116,Sao Joao Da Barra,BR,2020-09-05 20:27:58,-21.64,-41.05,80.6,61,0,6.93
117,Grindavik,IS,2020-09-05 20:29:06,63.84,-22.43,48.2,66,75,14.99
118,Safaga,EG,2020-09-05 20:30:34,26.73,33.94,91.4,52,1,6.93
119,Kapaa,US,2020-09-05 20:30:23,22.08,-159.32,84.2,66,20,14.99
120,Zaysan,KZ,2020-09-05 20:29:20,47.47,84.87,49.03,50,37,0.6
121,Harper,LR,2020-09-05 20:30:34,4.38,-7.72,75.83,85,100,10.83
122,Tiarei,PF,2020-09-05 20:30:35,-17.53,-149.33,82.4,69,75,11.41
123,Szeged,HU,2020-09-05 20:30:35,46.25,20.15,68.0,96,0,4.99
124,San Angelo,US,2020-09-05 20:29:07,31.46,-100.44,91.0,54,75,12.75
125,Husavik,IS,2020-09-05 20:30:35,66.04,-17.34,44.6,75,78,2.24
126,Luau,AO,2020-09-05 20:30:36,-10.71,22.22,72.68,21,0,5.06
127,Yulara,AU,2020-09-05 20:30:36,-25.24,130.99,59.0,22,0,8.05
128,Qui Nhon,VN,2020-09-05 20:30:36,13.77,109.23,79.27,80,94,4.59
129,Yellowknife,CA,2020-09-05 20:30:37,62.46,-114.35,51.8,57,75,9.17
130,Atambua,ID,2020-09-05 20:30:37,-9.11,124.89,66.9,76,64,4.83
131,Staropyshminsk,RU,2020-09-05 20:30:37,56.94,60.9,37.4,100,20,3.44
132,Buraydah,SA,2020-09-05 20:30:37,26.33,43.98,87.8,25,20,5.82
133,Fortuna,US,2020-09-05 20:28:47,40.6,-124.16,75.0,56,40,14.99
134,Carutapera,BR,2020-09-05 20:30:38,-1.2,-46.02,80.4,77,93,8.88
135,Jizan,SA,2020-09-05 20:29:31,17.33,42.67,89.6,70,0,1.1
136,Qaqortoq,GL,2020-09-05 20:30:38,60.72,-46.03,48.2,87,100,9.17
137,Bosaso,SO,2020-09-05 20:30:38,11.28,49.18,90.12,53,0,3.44
138,Kruisfontein,ZA,2020-09-05 20:28:35,-34.0,24.73,57.0,92,100,3.47
139,Jawhar,SO,2020-09-05 20:30:39,2.78,45.5,75.67,70,20,14.52
140,Mildura,AU,2020-09-05 20:30:39,-34.2,142.15,46.99,70,0,5.82
141,Iskateley,RU,2020-09-05 20:29:17,67.68,53.15,54.39,92,99,10.18
142,Saint-Philippe,RE,2020-09-05 20:30:39,-21.36,55.77,66.2,88,75,6.93
143,Finnsnes,NO,2020-09-05 20:25:40,69.23,17.98,50.0,93,100,11.41
144,Kahului,US,2020-09-05 20:30:40,20.89,-156.47,87.8,45,40,20.8
145,Bambanglipuro,ID,2020-09-05 20:30:40,-7.95,110.28,74.53,86,65,4.29
146,Nhulunbuy,AU,2020-09-05 20:30:40,-12.23,136.77,69.8,94,40,10.94
147,Laguna,US,2020-09-05 20:28:43,38.42,-121.42,98.01,26,1,3.36
148,Bardiyah,LY,2020-09-05 20:30:41,31.76,25.09,75.79,67,0,8.9
149,Great Falls,US,2020-09-05 20:30:41,47.5,-111.3,93.2,10,1,19.46
150,Sinnamary,GF,2020-09-05 20:30:41,5.38,-52.95,80.62,83,78,9.78
151,Puerto Ayora,EC,2020-09-05 20:26:48,-0.74,-90.35,75.2,57,20,23.04
152,Gazojak,TM,2020-09-05 20:30:42,41.19,61.4,65.66,23,4,10.38
153,Bubaque,GW,2020-09-05 20:30:42,11.28,-15.83,78.84,79,100,12.12
154,Dahanu,IN,2020-09-05 20:30:42,19.97,72.73,82.33,82,54,2.53
155,Saskylakh,RU,2020-09-05 20:27:07,71.92,114.08,35.98,85,32,9.46
156,Tasiilaq,GL,2020-09-05 20:27:23,65.61,-37.64,39.2,80,75,2.24
157,Sehithwa,BW,2020-09-05 20:30:43,-20.47,22.72,67.48,33,0,7.05
158,Porosozero,RU,2020-09-05 20:30:43,62.72,32.73,52.43,95,84,7.49
159,Waingapu,ID,2020-09-05 20:30:43,-9.66,120.26,73.22,85,97,5.66
160,Broome,US,2020-09-05 20:30:43,42.25,-75.83,73.99,40,75,16.11
161,Chokurdakh,RU,2020-09-05 20:26:22,70.63,147.92,40.75,69,100,10.69
162,Krasnokumskoye,RU,2020-09-05 20:30:44,44.18,43.5,71.6,53,72,13.42
163,Parrita,CR,2020-09-05 20:30:44,9.52,-84.32,80.6,73,75,11.41
164,Los Llanos De Aridane,ES,2020-09-05 20:30:45,28.66,-17.92,75.2,73,20,6.93
165,Carnarvon,AU,2020-09-05 20:30:45,-24.87,113.63,66.2,93,75,16.11
166,Yumen,CN,2020-09-05 20:30:45,40.28,97.2,59.47,35,0,6.42
167,Xingyi,CN,2020-09-05 20:30:45,24.19,102.82,60.26,95,100,2.19
168,Clyde River,CA,2020-09-05 20:30:46,70.47,-68.59,39.2,69,75,23.04
169,Klyuchi,RU,2020-09-05 20:30:46,52.27,79.17,43.65,71,1,5.35
170,Bone,DE,2020-09-05 20:30:46,51.97,12.14,57.99,79,24,1.01
171,Nanortalik,GL,2020-09-05 20:30:46,60.14,-45.24,48.51,91,100,11.7
172,San Carlos,VE,2020-09-05 20:30:47,9.66,-68.58,83.14,82,43,4.32
173,Laharpur,IN,2020-09-05 20:30:47,27.72,80.9,82.96,72,44,2.3
174,Hirara,JP,2020-09-05 20:30:47,24.8,125.28,81.39,80,52,29.21
175,Samarai,PG,2020-09-05 20:30:47,-10.62,150.67,78.57,85,43,12.33
176,Yining,CN,2020-09-05 20:30:48,29.04,114.56,68.95,87,75,0.89
177,Aklavik,CA,2020-09-05 20:30:48,68.22,-135.01,35.6,80,90,6.93
178,Skibbereen,IE,2020-09-05 20:30:48,51.55,-9.27,55.4,71,75,9.17
179,Torbay,CA,2020-09-05 20:27:36,47.67,-52.73,71.01,94,90,19.46
